time,UGRD_10maboveground,VGRD_10maboveground,DLWRF_surface,APCP_surface,precip_rate,TMP_2maboveground,SPFH_2maboveground,DSWRF_surface
2023-10-03 01:00:00,-0.4708077,1.8787694,318.54504,0.0,0.0,287.84387,99410.45,0.0
2023-10-03 02:00:00,0.87080765,1.0226921,316.20816,0.0,0.0,287.1446,99453.836,0.0
2023-10-03 03:00:00,0.72900003,0.18192306,314.31573,0.0,0.0,286.2723,99479.46,0.0
2023-10-03 04:00:00,0.13430768,-0.8551923,326.21628,0.0,0.0,285.91196,99362.62,0.0
2023-10-03 05:00:00,-0.06519227,-0.1693077,335.532,0.0,0.0,285.68073,99251.22,0.0
2023-10-03 06:00:00,-0.44200003,-0.16169229,332.99756,2.2176575e-06,2.2176575e-06,285.55118,99148.39,0.0
